id,date,title
0,10/09/2019,"Apple Event, September 2019 (HD)"
1,03/06/2019,Apple WWDC 2019 Keynote Address (HD)
2,25/03/2019,"Apple Special Event, March 2019 (HD)"
3,30/10/2018,"Apple Special Event, October 2018 (HD)"
4,12/09/2018,"Apple Special Event, September 2018 (HD)"
5,04/06/2018,Apple WWDC 2018 Keynote Address
6,27/03/2018,"Apple Special Event, March 2018 (HD)"
7,14/09/2017,"Apple Special Event, September 2017 (HD)"
8,05/06/2017,Apple WWDC 2017 Keynote Address (HD)
9,27/10/2016,"Apple Special Event, October 2016 (HD)"
10,09/09/2016,"Apple Special Event, September 2016 (HD)"
11,13/06/2016,Apple WWDC 2016 Keynote Address (HD)
12,21/03/2016,"Apple Special Event, March 2016 (HD)"
13,09/09/2015,"Apple Special Event, September 2015 (HD)"
14,08/06/2015,Apple WWDC 2015 Keynote Address (HD)
15,09/03/2015,"Apple Special Event, March 2015 (HD)"
16,16/10/2014,"Apple Special Event, October 2014 (HD)"
17,09/09/2014,"Apple Special Event, September 2014 (HD)"
18,02/06/2014,Apple WWDC 2014 Keynote Address (HD)
19,22/10/2013,"Apple Special Event, October 2013 (HD)"
20,10/09/2013,"Apple Special Event, September 2013 (HD)"
21,10/06/2013,Apple WWDC 2013 Keynote Address (HD)
22,23/10/2012,"Apple Special Event, October 2012 (HD)"
23,12/09/2012,"Apple Special Event, September 2012 (HD)"
24,11/06/2012,Apple WWDC 2012 Keynote Address (HD)
25,07/03/2012,"Apple Special Event, March 2012 (HD)"
26,19/01/2012,"Apple Education Event, January 2012 (HD)"
27,04/10/2011,"Apple Special Event, October 2011 (HD)"
28,06/06/2011,Apple WWDC 2011 Keynote Address (HD)
